 TIME                    	Power                    	Power                    	
  +5.2999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.3499999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.4000000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.4500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.5000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.5499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.5999999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.6500000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.7000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.7500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.7999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.8499999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.9000000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +5.9500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.0000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.0499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.0999999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.1500000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.2000000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.2500000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.2999999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.3499999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.4000000000000004E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.4500000000000002E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.5000000000000000E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.5499999999999998E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
  +6.5999999999999996E+00	  +3.0000000000000000E+01	  +5.0000000000000000E+01	
